machine_id,timestamp,temperature,vibration,pressure,rul_hours
M001,2026-03-06T00:20:56.860366,71.36,0.0308,102.7,288.0
M001,2026-03-06T00:25:56.860366,65.16,0.0225,97.11,287.92
M001,2026-03-06T00:30:56.860366,69.65,0.0335,98.85,287.83
M001,2026-03-06T00:35:56.860366,73.95,0.0276,101.39,287.75
M001,2026-03-06T00:40:56.860366,73.57,0.0382,104.08,287.67
M001,2026-03-06T00:45:56.860366,72.85,0.0217,97.56,287.58
M001,2026-03-06T00:50:56.860366,67.67,0.0387,103.6,287.5
M001,2026-03-06T00:55:56.860366,72.27,0.0286,100.01,287.42
M001,2026-03-06T01:00:56.860366,66.48,0.022,95.39,287.33
M001,2026-03-06T01:05:56.860366,66.35,0.0348,100.81,287.25
M001,2026-03-06T01:10:56.860366,73.21,0.0238,104.37,287.17
M001,2026-03-06T01:15:56.860366,65.71,0.0248,98.58,287.08
M001,2026-03-06T01:20:56.860366,67.7,0.0208,104.23,287.0
M001,2026-03-06T01:25:56.860366,70.08,0.0284,100.59,286.92
M001,2026-03-06T01:30:56.860366,73.78,0.0307,99.27,286.83
M001,2026-03-06T01:35:56.860366,66.05,0.0266,100.99,286.75
M001,2026-03-06T01:40:56.860366,68.11,0.0303,103.6,286.67
M001,2026-03-06T01:45:56.860366,68.28,0.026,104.87,286.58
M001,2026-03-06T01:50:56.860366,67.3,0.0281,99.99,286.5
M001,2026-03-06T01:55:56.860366,73.04,0.0201,99.73,286.42
M001,2026-03-06T02:00:56.860366,69.88,0.0397,100.63,286.33
M001,2026-03-06T02:05:56.860366,71.5,0.0334,104.2,286.25
M001,2026-03-06T02:10:56.860366,71.68,0.0323,101.78,286.17
M001,2026-03-06T02:15:56.860366,69.61,0.0302,95.6,286.08
M001,2026-03-06T02:20:56.860366,70.39,0.0275,101.99,286.0
M001,2026-03-06T02:25:56.860366,74.96,0.0323,96.58,285.92
M001,2026-03-06T02:30:56.860366,69.77,0.039,100.95,285.83
M001,2026-03-06T02:35:56.860366,69.46,0.0353,98.81,285.75
M001,2026-03-06T02:40:56.860366,74.56,0.0257,98.55,285.67
M001,2026-03-06T02:45:56.860366,71.43,0.0234,99.44,285.58
M001,2026-03-06T02:50:56.860366,74.08,0.0365,97.89,285.5
M001,2026-03-06T02:55:56.860366,74.97,0.0249,101.84,285.42
M001,2026-03-06T03:00:56.860366,74.79,0.0335,103.72,285.33
M001,2026-03-06T03:05:56.860366,73.47,0.0207,97.92,285.25
M001,2026-03-06T03:10:56.860366,66.7,0.0347,98.63,285.17
M001,2026-03-06T03:15:56.860366,68.0,0.0202,98.58,285.08
M001,2026-03-06T03:20:56.860366,66.22,0.039,103.64,285.0
M001,2026-03-06T03:25:56.860366,72.28,0.02,98.75,284.92
M001,2026-03-06T03:30:56.860366,72.72,0.0276,101.09,284.83
M001,2026-03-06T03:35:56.860366,67.71,0.0233,97.98,284.75
M001,2026-03-06T03:40:56.860366,67.6,0.0329,95.98,284.67
M001,2026-03-06T03:45:56.860366,65.56,0.03,104.77,284.58
M001,2026-03-06T03:50:56.860366,74.9,0.0394,100.04,284.5
M001,2026-03-06T03:55:56.860366,65.6,0.0318,95.15,284.42
M001,2026-03-06T04:00:56.860366,74.31,0.0374,102.31,284.33
M001,2026-03-06T04:05:56.860366,74.71,0.0371,104.8,284.25
M001,2026-03-06T04:10:56.860366,65.02,0.0303,96.41,284.17
M001,2026-03-06T04:15:56.860366,70.36,0.0285,95.04,284.08
M001,2026-03-06T04:20:56.860366,68.6,0.0331,102.9,284.0
M001,2026-03-06T04:25:56.860366,68.61,0.0239,97.65,283.92
M001,2026-03-06T04:30:56.860366,69.13,0.0356,103.6,283.83
M001,2026-03-06T04:35:56.860366,66.71,0.0267,103.25,283.75
M001,2026-03-06T04:40:56.860366,68.52,0.0387,99.39,283.67
